Dataset,Batch Size,Optimizer,Learning Rate,Pin Memory,Epochs,Model,Test Accuracy,Training Time (s),Model Path,F1 Score,Precision,Recall
FashionMNIST,16,Adam,0.0001,True,5,ResNet50,87.914286,550.823494,models/FashionMNIST_ResNet50_bs16_Adam_lr0.0001_pinTrue_ep5.pth,0.879494,0.882717,0.879143
FashionMNIST,32,SGD,0.001,False,2,ResNet18,88.878571,59.819395,models/FashionMNIST_ResNet18_bs32_SGD_lr0.001_pinFalse_ep2.pth,0.888125,0.888303,0.888786
FashionMNIST,32,SGD,0.001,False,2,ResNet50,85.178571,106.778278,models/FashionMNIST_ResNet50_bs32_SGD_lr0.001_pinFalse_ep2.pth,0.849851,0.853348,0.851786
FashionMNIST,32,SGD,0.001,False,5,ResNet18,89.928571,149.363016,models/FashionMNIST_ResNet18_bs32_SGD_lr0.001_pinFalse_ep5.pth,0.899268,0.900383,0.899286
FashionMNIST,32,SGD,0.001,False,5,ResNet50,89.292857,266.279634,models/FashionMNIST_ResNet50_bs32_SGD_lr0.001_pinFalse_ep5.pth,0.892771,0.892938,0.892929
FashionMNIST,32,SGD,0.0001,False,2,ResNet18,85.8,59.814627,models/FashionMNIST_ResNet18_bs32_SGD_lr0.0001_pinFalse_ep2.pth,0.857158,0.857945,0.858
FashionMNIST,32,SGD,0.0001,False,2,ResNet50,78.871429,106.742092,models/FashionMNIST_ResNet50_bs32_SGD_lr0.0001_pinFalse_ep2.pth,0.784027,0.787953,0.788714
FashionMNIST,32,SGD,0.0001,False,5,ResNet18,87.492857,149.53965,models/FashionMNIST_ResNet18_bs32_SGD_lr0.0001_pinFalse_ep5.pth,0.874757,0.875259,0.874929
FashionMNIST,32,SGD,0.0001,False,5,ResNet50,83.6,267.801604,models/FashionMNIST_ResNet50_bs32_SGD_lr0.0001_pinFalse_ep5.pth,0.835374,0.83557,0.836
FashionMNIST,32,Adam,0.001,False,2,ResNet18,88.764286,65.940407,models/FashionMNIST_ResNet18_bs32_Adam_lr0.001_pinFalse_ep2.pth,0.886781,0.887672,0.887643
FashionMNIST,32,Adam,0.001,False,2,ResNet50,84.771429,121.559134,models/FashionMNIST_ResNet50_bs32_Adam_lr0.001_pinFalse_ep2.pth,0.846837,0.853615,0.847714
FashionMNIST,32,Adam,0.001,False,5,ResNet18,90.764286,164.194215,models/FashionMNIST_ResNet18_bs32_Adam_lr0.001_pinFalse_ep5.pth,0.90708,0.907552,0.907643
FashionMNIST,32,Adam,0.001,False,5,ResNet50,89.4,319.76287,models/FashionMNIST_ResNet50_bs32_Adam_lr0.001_pinFalse_ep5.pth,0.893539,0.893851,0.894
FashionMNIST,32,Adam,0.0001,False,2,ResNet18,88.1,71.697052,models/FashionMNIST_ResNet18_bs32_Adam_lr0.0001_pinFalse_ep2.pth,0.881158,0.882527,0.881
FashionMNIST,32,Adam,0.0001,False,2,ResNet50,82.685714,127.509302,models/FashionMNIST_ResNet50_bs32_Adam_lr0.0001_pinFalse_ep2.pth,0.82122,0.828215,0.826857
